Sample_ID,sample,,1.5s peak area,known,06 07,,
2022_06_07_REH_Nfix_spring_074,5 ppm standard,,49008.08,5,5.7008464,,DATA file name is REH_06_07_Nfix_Spring_001...
2022_06_07_REH_Nfix_spring_075,5 ppm standard,,50600.7,5,5.828256,,
2022_06_07_REH_Nfix_spring_076,5 ppm standard,,49434.8,5,5.734984,,
2022_06_07_REH_Nfix_spring_077,10 ppm,,100498.7,10,,,
2022_06_07_REH_Nfix_spring_078,10 ppm,,97061.1,10,,,
2022_06_07_REH_Nfix_spring_079,10 ppm,,101153.9,10,,,
2022_06_07_REH_Nfix_spring_080,25 ppm,,244092.7,25,,,
2022_06_07_REH_Nfix_spring_081,25 ppm ,,252222,25,,,
2022_06_07_REH_Nfix_spring_082,25 ppm,,255147,25,,,
2022_06_07_REH_Nfix_spring_083,100 ppm,1219066.3,,100,,,
2022_06_07_REH_Nfix_spring_084,100 ppm,1164819.6,,100,,,
2022_06_07_REH_Nfix_spring_085,100 ppm,1164304.2,,100,,,
2022_06_07_REH_Nfix_spring_086,10 ppm,,104267.4,10,,,
2022_06_07_REH_Nfix_spring_087,100 ppm,,1207939.2,100,,,
2022_06_07_REH_Nfix_spring_088,100 ppm,,1188931.2,100,,,
2022_06_07_REH_Nfix_spring_089,100 ppm,,1180370.5,100,,,
2022_06_07_REH_Nfix_spring_090,Bag A blank,,108137.9,10.812732,,,
2022_06_07_REH_Nfix_spring_091,Bag B blank,,133936.5,12.87662,,,
2022_06_07_REH_Nfix_spring_092,FounEast Soil SW,,9393.8,2.913204,,,
2022_06_07_REH_Nfix_spring_093,FounEast Litter B,,4492.6,2.521108,,,
2022_06_07_REH_Nfix_spring_094,FounEast Moss SW,,18320,3.6273,,,
2022_06_07_REH_Nfix_spring_095,FounEast Moss NW,,3445.3,2.437324,,,
2022_06_07_REH_Nfix_spring_096,FounEast Wood SW,,14278.9,3.304012,,,
2022_06_07_REH_Nfix_spring_097,FounEast Wood NW,,16017.4,3.443092,,,
2022_06_07_REH_Nfix_spring_098,FountEast Moss NE,,102531.6,10.364228,,,
2022_06_07_REH_Nfix_spring_099,FountEast Lichen SW,,19673.6,3.735588,,,
2022_06_07_REH_Nfix_spring_100,FountEast Litter NW,,11541.8,3.085044,,,
2022_06_07_REH_Nfix_spring_101,FountEast Lichen NE,,42524.3,5.563644,,,
2022_06_07_REH_Nfix_spring_102,FountEast Litter NE,,15172.7,3.375516,,,
2022_06_07_REH_Nfix_spring_103,FountEast Litter SW,,17652.9,3.573932,,,
2022_06_07_REH_Nfix_spring_104,FountEast Lichen NW,,1878.8,2.312004,,,
2022_06_07_REH_Nfix_spring_105,5 ppm standard,,50558.6,6.206388,5.824888,,
2022_06_07_REH_Nfix_spring_106,5 ppm standard,,52238.9,6.340812,5.959312,,
2022_06_07_REH_Nfix_spring_107,5 ppm standard,,46547.1,5.885468,5.503968,,
2022_06_07_REH_Nfix_spring_108,5 ppm standard,,40877.2,5,5.050376,06 08,
2022_06_07_REH_Nfix_spring_109,5 ppm standard,,39120.3,5,4.909824,,
2022_06_07_REH_Nfix_spring_110,5 ppm standard,,39944.5,5,4.97576,,
2022_06_07_REH_Nfix_spring_111,10 ppm,100887.1,,10,,,
2022_06_07_REH_Nfix_spring_112,10 ppm,,97401.7,10,,,
2022_06_07_REH_Nfix_spring_113,10 ppm,,98202.8,10,,,
2022_06_07_REH_Nfix_spring_114,25 ppm,,249277.9,25,,,
2022_06_07_REH_Nfix_spring_115,25 ppm,,243312.8,25,,,
2022_06_07_REH_Nfix_spring_116,25 ppm,,244702.5,25,,,
2022_06_07_REH_Nfix_spring_117,10 ppm,,96618.1,10,,,
2022_06_07_REH_Nfix_spring_118,FirLop So Litter SW,,6501.5,2.30032,,,
2022_06_07_REH_Nfix_spring_119,FirLop So Soil B,,9021.8,2.501944,,,
2022_06_07_REH_Nfix_spring_120,Firlop So Litter NE,,8360.4,2.449032,,,
2022_06_07_REH_Nfix_spring_121,FirLop So Soil NW,,16143,3.07164,,,
2022_06_07_REH_Nfix_spring_122,BiscBas Litter NW,,6618.7,2.309696,,,
2022_06_07_REH_Nfix_spring_123,BiscBas Litter NE,,17631.6,3.190728,,,
2022_06_07_REH_Nfix_spring_124,BiscBas Litter B,,8751.8,2.480344,,,
2022_06_07_REH_Nfix_spring_125,BiscBas Wood NW,,2445,1.9758,,,
2022_06_07_REH_Nfix_spring_126,GravPit Litter NE,,18500.4,3.260232,,,
2022_06_07_REH_Nfix_spring_127,GravPit Lichen NE,,725721.5,59.83792,,*****,
2022_06_07_REH_Nfix_spring_128,GravPit Lichen NW,,36040.1,4.663408,,,
2022_06_07_REH_Nfix_spring_129,GravPit Wood NW,,49938.4,5.775272,,,
2022_06_07_REH_Nfix_spring_130,GravPit Wood SW,,2657.8,1.992824,,,
2022_06_07_REH_Nfix_spring_131,GravPit Wood NE,,10484.5,2.61896,,,
2022_06_07_REH_Nfix_spring_132,GravPit Moss NW,,628119.7,52.029776,,*****,
2022_06_07_REH_Nfix_spring_133,GravPit Moss SW,,980189.1,80.195328,,*****,
2022_06_07_REH_Nfix_spring_134,GravPit Litter NW,,16353.5,3.08848,,,
2022_06_07_REH_Nfix_spring_135,GravPit Litter B,,0,1.7802,,,
2022_06_07_REH_Nfix_spring_136,GravPit Moss NE,,21385.1,3.491008,,,
2022_06_07_REH_Nfix_spring_137,GravPit Lichen SW,,5537.1,2.223168,,,
2022_06_07_REH_Nfix_spring_138,GravPit Litter SW,,9814,2.56532,,,
2022_06_07_REH_Nfix_spring_139,GibFalls Lichen NE,,8155.3,2.432624,,,
2022_06_07_REH_Nfix_spring_140,GibFalls Litter NW,,13305.2,2.844616,,,
2022_06_07_REH_Nfix_spring_141,GibFalls Litter SW,,12077,2.74636,,,
2022_06_07_REH_Nfix_spring_142,GibFalls Lichen NW,,11315,2.6854,,,
2022_06_07_REH_Nfix_spring_143,GibFalls Moss SW,,2041673.3,165.114064,,*****,
2022_06_07_REH_Nfix_spring_144,GibFalls Wood NW,,22083.9,3.546912,,,
2022_06_07_REH_Nfix_spring_145,GibFalls Wood NE,,3495.5,2.05984,,,
2022_06_07_REH_Nfix_spring_146,GibFalls Moss NW,,1702.8,1.916424,,,
2022_06_07_REH_Nfix_spring_147,GibFalls Moss NE,,154954.4,14.176552,,,
2022_06_07_REH_Nfix_spring_148,Bag A blank,,562170.2,46.753816,,*****,
2022_06_07_REH_Nfix_spring_149,Bag B blank,,85276.4,8.602312,,,
2022_06_07_REH_Nfix_spring_150,BiscBas Moss NE,,363796.4,30.883912,,*****,
2022_06_07_REH_Nfix_spring_151,BiscBas Moss SE,,63218.5,6.83768,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_152,BiscBas Moss SW,,117100.8,11.148264,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_153,BiscBas Moss NW,,7160.6,2.353048,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_154,BiscBas Moss B,,33759.4,4.480952,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_155,FirLop So Moss NW,,23381.3,3.650704,,,
2022_06_07_REH_Nfix_spring_156,FirLop So Moss NE,,71293,7.48364,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_157,FirLop So Moss SE,,42620.9,5.189872,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_158,FirLop So Moss SW,,31656.4,4.312712,,,
2022_06_07_REH_Nfix_spring_159,Firlop So Soil SW,,8892.1,2.491568,,,
2022_06_07_REH_Nfix_spring_160,FirLop So Soil SE,,14907.6,2.972808,,,
2022_06_07_REH_Nfix_spring_161,FirLop So Soil NE,,14361.7,2.929136,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_162,BiscBas Soil SW,,16450.7,3.096256,,,
2022_06_07_REH_Nfix_spring_163,BiscBas Soil NW,,15301.4,3.004312,,,
2022_06_07_REH_Nfix_spring_164,BiscBas Soil SE,,30981.2,4.258696,,,
2022_06_07_REH_Nfix_spring_165,BiscBas Soil NE,,11863.8,2.729304,,,
2022_06_07_REH_Nfix_spring_166,BiscBas Soil B,,11863.8,2.729304,,,
2022_06_07_REH_Nfix_spring_167,Standard 5 ppm,,36351.6,5,4.688328,,
2022_06_07_REH_Nfix_spring_168,Standard 5 ppm,,35154.9,5,4.592592,,
2022_06_07_REH_Nfix_spring_169,Standard 5 ppm,,34878.8,5,4.570504,,
2022_06_07_REH_Nfix_spring_170,100 ppm,,1218774.5,100,99.28216,,
2022_06_07_REH_Nfix_spring_171,100 ppm,,1240133.8,100,100.990904,,
2022_06_07_REH_Nfix_spring_172,100 ppm,,1187501.5,100,96.78032,,
2022_06_07_REH_Nfix_spring_173,BiscBas Lichen SE,,21739.3,3.519344,,,
2022_06_07_REH_Nfix_spring_174,BiscBas Lichen SW,,12344.2,2.767736,,,
2022_06_07_REH_Nfix_spring_175,BiscBas Lichen NW,,17316.6,3.165528,,,
2022_06_07_REH_Nfix_spring_176,BiscBas Lichen B,,18584.4,3.266952,,,
2022_06_07_REH_Nfix_spring_177,FirLop So Lichen NE,,3774420,303.7338,,*****,
2022_06_07_REH_Nfix_spring_178,FirLop So Lichen SE,,64123.3,6.910064,,,
2022_06_07_REH_Nfix_spring_179,BiscBas Lichen NE,,15554.4,3.024552,,,
2022_06_07_REH_Nfix_spring_180,FirLop So Lichen SW,,13776.4,2.882312,,,
2022_06_07_REH_Nfix_spring_181,FirLop So Litter SE,,11537.3,2.703184,,,
2022_06_07_REH_Nfix_spring_182,FirLop So Litter B,,11796,2.72388,,,
2022_06_07_REH_Nfix_spring_183,FirLop So Litter NW,,13396.7,2.851936,,,
2022_06_07_REH_Nfix_spring_184,BiscBas Litter SW,,11962.5,2.7372,,,
2022_06_07_REH_Nfix_spring_185,BiscBas Litter SE,,3007.8,2.020824,,** not at 0 baseline,
2022_06_07_REH_Nfix_spring_186,FirLop So Wood SW,,19852.3,3.368384,,,
2022_06_07_REH_Nfix_spring_187,FirLop So Wood SE,,10593.6,2.627688,,,
2022_06_07_REH_Nfix_spring_188,FirLop So Wood NE,,138595,12.8678,,,
2022_06_07_REH_Nfix_spring_189,FirLop So Wood NW,,7513.8,2.381304,,,
2022_06_07_REH_Nfix_spring_190,FirLop So Wood B,,5509.4,2.220952,,**not at 0 baseline,
2022_06_07_REH_Nfix_spring_191,BiscBas Wood SW,,2096.2,1.947896,,,
2022_06_07_REH_Nfix_spring_192,BiscBas Wood SE,,26097,3.86796,,,
2022_06_07_REH_Nfix_spring_193,BiscBas Wood NE,,14139.1,2.911328,,,
2022_06_07_REH_Nfix_spring_194,BiscBas Wood B,,5611,2.22908,,**not at 0 baseline,
2022_06_07_REH_Nfix_spring_195,10 ppm,,202029.7,10,18.324076,,
2022_06_07_REH_Nfix_spring_196,10 ppm,,81644.7,10,8.693276,,
2022_06_07_REH_Nfix_spring_197,10 ppm,,79767.5,10,8.5431,,
2022_06_07_REH_Nfix_spring_198,25 ppm,,225360.8,25,20.190564,,
2022_06_07_REH_Nfix_spring_199,25 ppm,,239363.6,25,21.310788,,
2022_06_07_REH_Nfix_spring_200,25 ppm,,233461.9,25,20.838652,,
2022_06_07_REH_Nfix_spring_201,Litter 1 25%,,5917.5,2.2536,5 C,,
2022_06_07_REH_Nfix_spring_202,Litter 2 25%,,0,1.7802,5 C,,
2022_06_07_REH_Nfix_spring_203,Litter 3 25%,,1938.1,1.935248,5 C,,
2022_06_07_REH_Nfix_spring_204,Litter 4 25%,,25724.5,3.83816,5 C,,
2022_06_07_REH_Nfix_spring_205,Litter 5 25%,,3068.1,2.025648,5 C,,
2022_06_07_REH_Nfix_spring_206,Litter 6 25%,,1296.7,1.883936,5 C,,
2022_06_07_REH_Nfix_spring_207,Litter 1 50%,,1082.5,1.8668,5 C,,
2022_06_07_REH_Nfix_spring_208,Litter 2 50%,,0,1.7802,5 C,,
2022_06_07_REH_Nfix_spring_209,Litter 3 50%,,2687.7,1.995216,5 C,,
2022_06_07_REH_Nfix_spring_210,Litter 4 50%,,0,1.7802,5 C,,
2022_06_07_REH_Nfix_spring_211,Litter 5 50%,,1491.6,1.899528,5 C,,
2022_06_07_REH_Nfix_spring_212,Litter 6 50%,,2423.2,1.974056,5 C,,
2022_06_07_REH_Nfix_spring_213,Litter 1 100%,,8971,2.49788,5 C,,
2022_06_07_REH_Nfix_spring_214,Litter 2 100%,,10848.9,2.648112,5 C,,
2022_06_07_REH_Nfix_spring_215,Litter 3 100%,,8581.5,2.46672,5 C,,
2022_06_07_REH_Nfix_spring_216,Litter 4 100%,,1517.4,1.901592,5 C,**not at 0 baseline,
2022_06_07_REH_Nfix_spring_217,Litter 5 100%,,5884,2.25092,5 C,,
2022_06_07_REH_Nfix_spring_218,Litter 6 100%,,0,1.7802,5 C,,
2022_06_07_REH_Nfix_spring_219,Litter 1 150%,,10080.6,2.586648,5 C,,
2022_06_07_REH_Nfix_spring_220,Litter 2 150%,,1586,1.90708,5 C,,
2022_06_07_REH_Nfix_spring_221,Litter 3 150%,,10792.1,2.643568,5 C,,
2022_06_07_REH_Nfix_spring_222,Litter 4 150%,,1360.9,1.889072,5 C,,
2022_06_07_REH_Nfix_spring_223,25 ppm,,223371.7,19.649936,,,
2022_06_07_REH_Nfix_spring_224,25 ppm,,,,,,
2022_06_07_REH_Nfix_spring_225,25 ppm,,,,,,
