,ambient wet mass,median ambient WC,target WC,water loss rate at 35 C g/hr,dry mass,water needed to be lost,hrs of drying needed,,,
moss,14.6,68.8,25,0.43,8.6492891,3.788388626,8.810206106,,,
lichen,,88.4,25,0.34,0,0,0,,,
litter,,55.4,150,0.25,0,0,0,,,
soil,,68.8,100,0.98,0,0,0,,,
wood,,179,25,1.16,0,0,0,,,
,,,,,,,,,,
,,mean water lost per hour,,wet mass of sample,target WC,ambient WC of sample (decimal),dry mass,mass of sample for target WC,water mass to be lost,hrs of drying needed
,moss,0.78,,14.6,25,0.4,10,13.03571429,1.564285714,1.015769944
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,moss,0.78,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,soil,1.67,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,wood,1.495,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,lichen,0.59,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.61,,,25,,,,,
,litter,0.61,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,litter,0.605,,,25,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,moss,0.775,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,soil,1.67,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,wood,1.495,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,lichen,0.59,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,
,litter,0.605,,,50,,,,,