"site","niche","season","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n","bm_1000h_Class45_Mg_ha","g_biomass_4.5.CWD","flux_kgN_ha_h","median_flux_kgN_ha_h","sd_kgN_ha_h","var_kgN_ha_h","flux_kgN_ha_season","median_flux_kgN_ha_season","var_kgN_ha_season","sd_kgN_ha_season"
"BiscBas","Wood","fall",105.343,8588.75262257143,0,0,0,0,0,0,0,0,8,23.0103424444444,23010342.4444444,0,0,0,0,0,0,0,0
"BiscBas","Wood","summer_wet",104.63566666666667,1949.7062494666668,4.0078603333333336e-10,1.047691e-10,7.308866940025155e-10,5.341953594699267e-19,7.917771666666667e-10,3.546665e-10,1.0182729268581026e-9,1.0368797535721666e-18,6,23.0103424444444,23010342.4444444,7.287625497876771e-5,3.264399047429016e-5,9.37232349956465e-5,9.54358328136267e-14,0.10639933226900086,0.04766022609246364,1.3933631590789496e-10,0.1368359230936439
"BiscBas","Wood","spring",232.53,9289.555049999999,5.633696e-11,0,9.736848095460871e-11,9.480621083408e-21,1.213334e-10,0,2.1426063048959787e-10,4.59076177778e-20,5,23.0103424444444,23010342.4444444,1.1167692335795002e-5,0,1.9720841919712848e-5,4.225400023503366e-15,0.0163048308102607,0,6.169084034314915e-12,0.02879242920278076
"BiscBas","Wood","summer",2.353125,17.590511553571428,0,0,0,0,0,0,0,0,8,23.0103424444444,23010342.4444444,0,0,0,0,0,0,0,0
"FirLopSo","Wood","summer_wet",103.872,1778.792299,3.4217912e-10,3.96436e-11,6.189366144010808e-10,3.8308253264627207e-19,1.3477326e-9,1.77333e-10,2.2925316178994786e-9,5.2557012190688e-18,5,11.1619977777778,11161997.7777778,6.017355314495479e-5,7.917562207706683e-6,1.023569312979173e-4,2.346565013116401e-13,0.087853387591634,0.011559640823251758,3.4259849191499455e-10,0.14944111969495927
"FirLopSo","Wood","fall",62.203625,4093.8434545535715,0,0,0,0,0,0,0,0,8,11.1619977777778,11161997.7777778,0,0,0,0,0,0,0,0
"FirLopSo","Wood","spring",178.26,2342.9287500000005,3.89971472e-10,6.99936e-12,7.935981212703279e-10,6.29797978083794e-19,8.717332660000001e-10,9.33333e-12,1.7718787281218455e-9,3.139554227170689e-18,5,11.1619977777778,11161997.7777778,3.8921139111627934e-5,4.167144348770675e-7,7.911082570315118e-5,1.4017478922756854e-13,0.05682486310297678,6.084030749205186e-4,2.0465519227225007e-10,0.11550180552660072
"FirLopSo","Wood","summer",0,0,0,0,0,0,0,0,0,0,8,11.1619977777778,11161997.7777778,0,0,0,0,0,0,0,0
"FounEast","Wood","summer_wet",136.5226,1901.1687578000003,2.4308788e-10,8.64554e-11,3.282126096384354e-10,1.07723517125672e-19,1.0173346e-9,8.49333e-10,1.1815256282560273e-9,1.3960028102258001e-18,5,18.6280515555556,18628051.5555556,7.580384551220216e-5,6.328567564733882e-5,8.803808126945399e-5,1.0401924928234682e-13,0.11067361444781515,0.09239708644511467,1.5186810395222637e-10,0.12853559865340283
"FounEast","Wood","spring",118.315,27.011249999999958,2.02711e-10,2.02711e-10,2.53724055225357e-11,6.43758962e-22,4.3400000000000005e-10,4.3400000000000005e-10,1.7819090885900997e-10,3.1752e-20,2,18.6280515555556,18628051.5555556,3.233829750044453e-5,3.233829750044453e-5,1.3277397747827787e-5,2.365911571968006e-15,0.04721391435064901,0.04721391435064901,3.454230895073289e-12,0.019385000711828568
"FounEast","Wood","fall",130.737875,7504.628568124999,0,0,0,0,0,0,0,0,8,18.6280515555556,18628051.5555556,0,0,0,0,0,0,0,0
"FounEast","Wood","summer",14.089571428571428,839.1982212857143,0,0,0,0,0,0,0,0,7,18.6280515555556,18628051.5555556,0,0,0,0,0,0,0,0
"GibFalls","Wood","summer",0.513,0.47858333333333336,0,0,0,0,0,0,0,0,7,10.6620297777778,10662029.7777778,0,0,0,0,0,0,0,0
"GibFalls","Wood","spring",210.5,1693.6199999999994,1.23719e-10,1.23719e-10,1.7496508772323695e-10,3.0612781922e-20,2.333335e-10,2.333335e-10,3.2998340025598255e-10,1.0888904444449999e-19,2,10.6620297777778,10662029.7777778,9.951234900612464e-6,9.951234900612464e-6,1.4073171358806626e-5,4.643912937364116e-15,0.014528802954894197,0.014528802954894197,6.78011288855161e-12,0.020546830183857674
"GibFalls","Wood","fall",18.642625,153.2309048392857,0,0,0,0,0,0,0,0,8,10.6620297777778,10662029.7777778,0,0,0,0,0,0,0,0
"GibFalls","Wood","summer_wet",62.142250000000004,683.3055689166666,4.785145e-11,6.039869999999999e-11,3.233089381149244e-11,1.04528669465e-21,1.9133325e-10,1.726665e-10,1.748599350592258e-10,3.0575996888916664e-20,4,10.6620297777778,10662029.7777778,8.160003235916016e-6,7.363901458498683e-6,7.457447338167032e-6,1.3040087572594833e-15,0.011913604724437383,0.010751296129408077,1.9038527855988455e-12,0.010887873113723866
"GravPit","Wood","summer",1.10125,1.1596345,0,0,0,0,0,0,0,0,8,22.8550427777778,22855042.777777802,0,0,0,0,0,0,0,0
"GravPit","Wood","spring",154.61,1113.9200000000008,4.1518826000000005e-10,4.1518826000000005e-10,5.758108263603032e-10,3.315581077537352e-19,7.1399835e-10,7.1399835e-10,9.833474497772621e-10,9.669722069834449e-19,2,22.8550427777778,22855042.777777802,6.527385133005106e-5,6.527385133005106e-5,8.989779212031214e-5,8.840076462211538e-14,0.09529982294187454,0.09529982294187454,1.2906511634828845e-10,0.13125077649565572
"GravPit","Wood","fall",35.153,902.857768,0,0,0,0,0,0,0,0,8,22.8550427777778,22855042.777777802,0,0,0,0,0,0,0,0
"GravPit","Wood","summer_wet",135.9004,2828.8101838,6.322044e-10,6.12742e-10,4.847302897991831e-10,2.3496345384879996e-19,2.0178666e-9,2.632e-9,1.8295040167837293e-9,3.3470849474278e-18,5,22.8550427777778,22855042.777777802,1.844737098513962e-4,2.406178903644447e-4,1.672535702628338e-4,3.0599107861727415e-13,0.26933161638303843,0.35130211993208926,4.4674697478122024e-10,0.24419021258373735
