Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,
2022_06_20_REH_climexp_001,5 ppm,,,47274.1,5,,
2022_06_20_REH_climexp_002,5 ppm,,,43335.4,5,,
2022_06_20_REH_climexp_003,5 ppm,,,44906.8,5,,
2022_06_20_REH_climexp_004,10 ppm,,,107472.9,10,,
2022_06_20_REH_climexp_005,10 ppm,,,105353.7,10,,
2022_06_20_REH_climexp_006,10 ppm,,,103995.9,10,,
2022_06_20_REH_climexp_007,25 ppm,,,266463.1,25,,
2022_06_20_REH_climexp_008,25 ppm,,,280321.3,25,,
2022_06_20_REH_climexp_009,25 ppm,,,278656.9,25,,
2022_06_20_REH_climexp_010,100 ppm,,,1165066.6,100,,
2022_06_20_REH_climexp_011,100 ppm,,,1187962.8,100,,
2022_06_20_REH_climexp_012,100 ppm,,,1160551,100,,
2022_06_20_REH_climexp_013,Soil 24,50,35,7089.6,,1.910368,
2022_06_20_REH_climexp_014,Soil 19,100,35,15208,,2.55984,
2022_06_20_REH_climexp_015,Soil 20,100,35,34946.5,,4.13892,
2022_06_20_REH_climexp_016,Soil 21,100,35,9254.6,,2.083568,
2022_06_20_REH_climexp_017,Soil 22,100,35,32296.3,,3.926904,
2022_06_20_REH_climexp_018,Soil 23,100,35,10562.9,,2.188232,
2022_06_20_REH_climexp_019,Soil 24,100,35,1382.7,,1.453816,
2022_06_20_REH_climexp_020,Soil 19,150,35,2086.5,,1.51012,
2022_06_20_REH_climexp_021,Soil 20,150,35,26853.2,,3.491456,
2022_06_20_REH_climexp_022,Soil 21,150,35,7971.4,,1.980912,
2022_06_20_REH_climexp_023,Soil 22,150,35,21977.9,,3.101432,
2022_06_20_REH_climexp_024,Soil 23,150,35,29268.6,,3.684688,
2022_06_20_REH_climexp_025,Soil 24,150,35,1045.9,,1.426872,
2022_06_20_REH_climexp_026,100 ppm,,,1209764.2,100,98.124336,
2022_06_20_REH_climexp_027,100 ppm,,,1175636.3,100,95.394104,
2022_06_20_REH_climexp_028,100 ppm,,,1226142.9,100,99.434632,
2022_06_20_REH_climexp_029,Lichen 13,25,25,2779407,,223.69576,
2022_06_20_REH_climexp_030,Lichen 14,25,25,21414573.9,,1714.509112,
2022_06_20_REH_climexp_031,Lichen 15,25,25,232377.3,,19.933384,
2022_06_20_REH_climexp_032,Lichen 16,25,25,46690.5,,5.07844,
2022_06_20_REH_climexp_033,Lichen 17,25,25,9327.5,,2.0894,
2022_06_20_REH_climexp_034,Lichen 18,25,25,5358.4,,1.771872,
2022_06_20_REH_climexp_035,Lichen 13,50,25,210454.3,,18.179544,
2022_06_20_REH_climexp_036,Lichen 14,50,25,17963,,2.78024,
2022_06_20_REH_climexp_037,Lichen 15,50,25,10010.9,,2.144072,
2022_06_20_REH_climexp_038,Lichen 16,50,25,49981.1,,5.341688,
2022_06_20_REH_climexp_039,Lichen 17,50,25,9412.4,,2.096192,
2022_06_20_REH_climexp_040,Lichen 18,50,25,2881,,1.57368,
2022_06_20_REH_climexp_041,Lichen 13,100,25,25554.2,,3.387536,
2022_06_20_REH_climexp_042,Lichen 14,100,25,9834.6,,2.129968,
2022_06_20_REH_climexp_043,Lichen 15,150,25,1634813.2,,132.128256,
2022_06_20_REH_climexp_044,Lichen 16,150,25,42696,,4.75888,
2022_06_20_REH_climexp_045,Lichen 17,150,25,117141.9,,10.714552,
2022_06_20_REH_climexp_046,Lichen 18,150,25,8207.6,,1.999808,
2022_06_20_REH_climexp_047,Lichen 15,150,25,315165.8,,26.556464,
2022_06_20_REH_climexp_048,Lichen 14,150,25,21788.6,,3.086288,
2022_06_20_REH_climexp_049,Lichen 15,100,25,219407.7,,18.895816,
2022_06_20_REH_climexp_050,Lichen 16,100,25,56506.6,,5.863728,
2022_06_20_REH_climexp_051,Lichen 17,100,25,5685.3,,1.798024,
2022_06_20_REH_climexp_052,Lichen 18,100,25,4528,,1.70544,
2022_06_20_REH_climexp_053,25 ppm,,,276463.5,25,23.46028,
2022_06_20_REH_climexp_054,25 ppm,,,274440.9,25,23.298472,
2022_06_20_REH_climexp_055,25 ppm,,,264676.7,25,22.517336,
2022_06_20_REH_climexp_056,Lichen 19,25,35,233552.8,,20.027424,
2022_06_20_REH_climexp_057,Lichen 20,25,35,23734,,3.24192,
2022_06_20_REH_climexp_058,Lichen 21,25,35,30701.6,,3.799328,
2022_06_20_REH_climexp_059,Lichen 22,25,35,47161.5,,5.11612,
2022_06_20_REH_climexp_060,Lichen 23,25,35,21020,,3.0248,
2022_06_20_REH_climexp_061,Lichen 24,25,35,8528.9,,2.025512,
2022_06_20_REH_climexp_062,Lichen 19,50,35,23349.3,,3.211144,
2022_06_20_REH_climexp_063,Lichen 20,50,35,1603584.7,,129.629976,
2022_06_20_REH_climexp_064,Lichen 21,50,35,60699.1,,6.199128,
2022_06_20_REH_climexp_065,Lichen 22,50,35,1723545.5,,139.22684,
2022_06_20_REH_climexp_066,Lichen 23,50,35,384453.4,,32.099472,
2022_06_20_REH_climexp_067,Lichen 24,50,35,7782.9,,1.965832,
2022_06_20_REH_climexp_068,Lichen 19,100,35,39123.3,,4.473064,
2022_06_20_REH_climexp_069,Lichen 20,100,35,17493.3,,2.742664,
2022_06_20_REH_climexp_070,Lichen 21,150,35,27591.4,,3.550512,
2022_06_20_REH_climexp_071,Lichen 22,150,35,17767.9,,2.764632,
2022_06_20_REH_climexp_072,Lichen 23,150,35,7447.2,,1.938976,
2022_06_20_REH_climexp_073,Lichen 24,150,35,11210.3,,2.240024,
2022_06_20_REH_climexp_074,Lichen 19,150,35,21958.2,,3.099856,
2022_06_20_REH_climexp_075,Lichen 20,150,35,18286.7,,2.806136,
2022_06_20_REH_climexp_076,Lichen 21,100,35,3297798.8,,265.167104,
2022_06_20_REH_climexp_077,Lichen 22,100,35,31164,,3.83632,
2022_06_20_REH_climexp_078,Lichen 23,100,35,47523.6,,5.145088,
2022_06_20_REH_climexp_079,Lichen 24,100,35,23253.3,,3.203464,
2022_06_20_REH_climexp_080,10 ppm,,,98425.7,10,9.217256,
2022_06_20_REH_climexp_081,10 ppm,,,106324.4,10,9.849152,
2022_06_20_REH_climexp_082,10 ppm,,,105555.3,10,9.787624,
2022_06_20_REH_climexp_083,Litter 13,25,25,79685.4,,7.718032,
2022_06_20_REH_climexp_084,Litter 14,25,25,3206.6,,1.599728,
2022_06_20_REH_climexp_085,Litter 15,25,25,34841.2,,4.130496,
2022_06_20_REH_climexp_086,Litter 16,25,25,11167.5,,2.2366,
2022_06_20_REH_climexp_087,Litter 17,25,25,14580.5,,2.50964,
2022_06_20_REH_climexp_088,Litter 18,25,25,2471.4,,1.540912,
2022_06_20_REH_climexp_089,Litter 13,50,25,32384.1,,3.933928,
2022_06_20_REH_climexp_090,Litter 14,50,25,17291,,2.72648,
2022_06_20_REH_climexp_091,Litter 15,50,25,23597.2,,3.230976,
2022_06_20_REH_climexp_092,Litter 16,50,25,6247.6,,1.843008,
2022_06_20_REH_climexp_093,Litter 17,50,25,24988,,3.34224,
2022_06_20_REH_climexp_094,Litter 18,50,25,4991.1,,1.742488,
2022_06_20_REH_climexp_095,Litter 13,100,25,31170.7,,3.836856,
2022_06_20_REH_climexp_096,Litter 14,100,25,5947.9,,1.819032,
2022_06_20_REH_climexp_097,Litter 15,100,25,3909.5,,1.65596,
2022_06_20_REH_climexp_098,Litter 16,100,25,48930.8,,5.257664,
2022_06_20_REH_climexp_099,Litter 17,100,25,17998.9,,2.783112,
2022_06_20_REH_climexp_100,Litter 18,100,25,3645.2,,1.634816,
2022_06_20_REH_climexp_101,Litter 13,150,25,13341.4,,2.410512,
2022_06_20_REH_climexp_102,Litter 14,150,25,38183.9,,4.397912,
2022_06_20_REH_climexp_103,Litter 15,150,25,19691.5,,2.91852,
2022_06_20_REH_climexp_104,Litter 16,150,25,11692.2,,2.278576,
2022_06_20_REH_climexp_105,Litter 17,150,25,34171.9,,4.076952,
2022_06_20_REH_climexp_106,Litter 18,150,25,25680.5,,3.39764,
2022_06_21_REH_climexp_001,25 ppm,,,195239.9,25,16.962392,06 21
2022_06_21_REH_climexp_002,25 ppm,,,218344.9,25,18.810792,
2022_06_21_REH_climexp_003,25 ppm,,,215973.6,25,18.621088,
2022_06_21_REH_climexp_004,Litter 19,25,35,75659.3,,7.395944,
2022_06_21_REH_climexp_005,Litter 20,25,35,25399.2,,3.375136,
2022_06_21_REH_climexp_006,Litter 21,25,35,72445.2,,7.138816,
2022_06_21_REH_climexp_007,Litter 22,25,35,7622.3,,1.952984,
2022_06_21_REH_climexp_008,Litter 23,25,35,125190.7,,11.358456,
2022_06_21_REH_climexp_009,Litter 24,25,35,26441.7,,3.458536,
2022_06_21_REH_climexp_010,Litter 19,50,35,152325.8,,13.529264,
2022_06_21_REH_climexp_011,Litter 20,50,35,23789,,3.24632,
2022_06_21_REH_climexp_012,Litter 21,50,35,6265.4,,1.844432,
2022_06_21_REH_climexp_013,Litter 22,50,35,46739.6,,5.082368,
2022_06_21_REH_climexp_014,Litter 23,50,35,3261, ,1.60408, 
2022_06_21_REH_climexp_015,Litter 24,50,35,47367.1,,5.132568,
2022_06_21_REH_climexp_016,Litter 19,100,35,104353.2,,9.691456,
2022_06_21_REH_climexp_017,Litter 20,100,35,77767.6,,7.564608,
2022_06_21_REH_climexp_018,Litter 21,100,35,2176.8,,1.517344,
2022_06_21_REH_climexp_019,Litter 22,100,35,77117.8,,7.512624,
2022_06_21_REH_climexp_020,Litter 23,100,35,69883.8,,6.933904,
2022_06_21_REH_climexp_021,Litter 24,100,35,35506.8,,4.183744,
2022_06_21_REH_climexp_022,Litter 19,150,35,120177.7,,10.957416,
2022_06_21_REH_climexp_023,Litter 20,150,35,92163.5,,8.71628,
2022_06_21_REH_climexp_024,Litter 21,150,35,139152.2,,12.475376,
2022_06_21_REH_climexp_025,Litter 22,150,35,32134.2,,3.913936,
2022_06_21_REH_climexp_026,Litter 23,150,35,19217.4,,2.880592,
2022_06_21_REH_climexp_027,Litter 24,150,35,5970.5,,1.82084,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
