Sample_ID,sample,,1.5s peak area,known,6/2/2022,
2022_06_02_REH_Nfix_spring_001,5 ppm standard,,51367.8,5,5.889624,
2022_06_02_REH_Nfix_spring_002,5 ppm standard,,47681.3,5,5.594704,
2022_06_02_REH_Nfix_spring_003,5 ppm standard,,54577.8,5,6.146424,
2022_06_02_REH_Nfix_spring_004,10 ppm,,98697.7,10,,
2022_06_02_REH_Nfix_spring_005,10 ppm,,94078.2,10,,
2022_06_02_REH_Nfix_spring_006,10 ppm,,99974.4,10,,
2022_06_02_REH_Nfix_spring_007,25 ppm,,259869.7,25,,
2022_06_02_REH_Nfix_spring_008,25 ppm ,,272637.5,25,,
2022_06_02_REH_Nfix_spring_009,25 ppm,,261372.8,25,,
2022_06_02_REH_Nfix_spring_010,100pm,,1152154.5,100,,
2022_06_02_REH_Nfix_spring_011,100pm,1131846.2,,100,,
2022_06_02_REH_Nfix_spring_012,100pm,,1187788.8,100,,
2022_06_02_REH_Nfix_spring_013,100pm,,1193669.2,100,,
2022_06_02_REH_Nfix_spring_014,100pm,,1185858.5,100,,
2022_06_02_REH_Nfix_spring_015,Gravpit Soil SW,,9618.9,2.549712,3.536412,
2022_06_02_REH_Nfix_spring_016,GravPit Soil NW,,12474.8,2.778184,,
2022_06_02_REH_Nfix_spring_017,GravPit Soil NE,,6296,2.28388,,
2022_06_02_REH_Nfix_spring_018,GibFalls Soil NW,,6127.2,2.270376,,
2022_06_02_REH_Nfix_spring_019,GibFalls Soil NE,,16076,3.06628,,
2022_06_02_REH_Nfix_spring_020,GibFalls Soil SW,,26303.2,3.884456,,** BE SURE TO USE CORRECT BLANKS FOR EACH SAMPLE AND FROM EACH GC SESSION
2022_06_02_REH_Nfix_spring_021,FounEast Soil NW,,12942.3,2.815584,,
2022_06_02_REH_Nfix_spring_022,FounEast Soil B,,1997.1,1.939968,,
2022_06_02_REH_Nfix_spring_023,FounEast Soil NE,,13760.5,2.88104,,
2022_06_02_REH_Nfix_spring_024,GravPit Soil SE,,1334,1.88692,,
2022_06_02_REH_Nfix_spring_025,GravPit Soil B,,0,1.7802,,
2022_06_02_REH_Nfix_spring_026,GravPit Soil B redo,,1699.1,1.916128,,
2022_06_02_REH_Nfix_spring_027,GibFalls Soil SE,,5087.6,2.187208,,
2022_06_02_REH_Nfix_spring_028,GibFalls Soil B,,3142.2,2.031576,,
2022_06_02_REH_Nfix_spring_029,FounEast Soil SE,,1359.5,1.88896,,
2022_06_02_REH_Nfix_spring_030,FirLopSo Moss B,,22940.3,3.615424,,
2022_06_02_REH_Nfix_spring_031,FounEast Wood B,,0,1.7802,,
2022_06_02_REH_Nfix_spring_032,GravPit Wood SE,,1859.9,1.928992,,
2022_06_02_REH_Nfix_spring_033,5ppm,,52527.7,5.982416,,
2022_06_02_REH_Nfix_spring_034,5ppm,,46188.6,5.475288,,
2022_06_02_REH_Nfix_spring_035,5ppm,,46042.4,5.463592,,
2022_06_02_REH_Nfix_spring_036,10ppm,,92276.9,9.162352,,
2022_06_02_REH_Nfix_spring_037,10ppm,,89426,8.93428,,
2022_06_02_REH_Nfix_spring_038,10ppm,,94554.9,9.344592,,
2022_06_02_REH_Nfix_spring_039,5ppm,,44448,5.33604,6/3/2022,5
2022_06_02_REH_Nfix_spring_040,5ppm,,45011.8,5.381144,,5
2022_06_02_REH_Nfix_spring_041,5ppm,,44216.9,5.317552,,5
2022_06_02_REH_Nfix_spring_042,10ppm,,81930.3,8.334624,,10
2022_06_02_REH_Nfix_spring_043,10ppm,,84220.1,8.517808,,10
2022_06_02_REH_Nfix_spring_044,10ppm,,82407.8,8.372824,,10
2022_06_02_REH_Nfix_spring_045,25 ppm,,272233.1,23.558848,,25
2022_06_02_REH_Nfix_spring_046,25 ppm,,261691.7,22.715536,,25
2022_06_02_REH_Nfix_spring_047,25 ppm,,260057.3,22.584784,,25
2022_06_02_REH_Nfix_spring_048,100pm,,1216702.9,99.116432,,100
2022_06_02_REH_Nfix_spring_049,100pm,,1213794.6,98.883768,,100
2022_06_02_REH_Nfix_spring_050,100pm,,1207512.1,98.381168,,100
2022_06_02_REH_Nfix_spring_051,GibFalls Wood B,,5695.4,3.222532,,
2022_06_02_REH_Nfix_spring_052,FounEast Wood SE,,1680.7,2.901356,,
2022_06_02_REH_Nfix_spring_053,GibFalls Wood SE,,2002.1,2.927068,,
2022_06_02_REH_Nfix_spring_054,GibFalls Moss SE,,1134.9,2.857692,,
2022_06_02_REH_Nfix_spring_055,FounEast Moss SE,,1325.7,2.872956,,
2022_06_02_REH_Nfix_spring_056,GravPit Moss SE,,2700.7,2.982956,,
2022_06_02_REH_Nfix_spring_057,FounEast Lichen SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_058,GravPit Lichen SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_059,FounEast Lichen B,,0,2.7669,,
2022_06_02_REH_Nfix_spring_060,GibFalls Lichen B ,,0,2.7669,,
2022_06_02_REH_Nfix_spring_061,GibFalls Lichen SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_062,GravPit Lichen B,,0,2.7669,,
2022_06_02_REH_Nfix_spring_063,GravPit Wood B,,0,2.7669,,
2022_06_02_REH_Nfix_spring_064,GibFalls Moss B,,1147.3,2.858684,,
2022_06_02_REH_Nfix_spring_065,GravPit Moss B,,2152.2,2.939076,,
2022_06_02_REH_Nfix_spring_066,FounEast Moss B,,1281.4,2.869412,,
2022_06_02_REH_Nfix_spring_067,FounEast Litter SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_068,GravPit Litter SE,,1199.1,2.862828,,
2022_06_02_REH_Nfix_spring_069,GibFalls Litter SE,,10160.7,3.579756,,
2022_06_02_REH_Nfix_spring_070,GibFalls Litter B,,7680.6,3.381348,,
2022_06_02_REH_Nfix_spring_071,25 ppm,,267750.4,24.186932,,
2022_06_02_REH_Nfix_spring_072,25 ppm,,267068.3,24.132364,,
2022_06_02_REH_Nfix_spring_073,25 ppm,,253469.7,23.044476,,
