niche,0,1,% wet mass lost after 1 hour,2,% wet mass lost after 2 hours,3,% wet mass lost after 3 hrs,water loss rate g/hr,wet_mass_17hr,
moss,2.46,1.89,23.17073171,1.61,34.55284553,1.5,39.02439024,0.32,1.456,moss water loss rate
moss,2.27,1.29,43.17180617,0.83,63.43612335,0.67,70.4845815,0.53,0.663,0.43
soil,13.08,11.54,11.77370031,11.17,14.60244648,11.14,14.83180428,0.65,11.097,soil water loss rate
soil,20.7,18.9,8.695652174,17.08,17.48792271,16.75,19.0821256,1.32,16.51,0.98
wood,5.59,3.66,34.52593918,2.98,46.69051878,2.82,49.55277281,0.92,2.688,wood water loss rate
wood,8.6,7.54,12.3255814,5.33,38.02325581,4.43,48.48837209,1.39,2.853,1.16
lichen,1.5,0.91,39.33333333,0.75,50,0.73,51.33333333,0.26,0.727,lichen water loss rate
lichen,2.8,2.21,21.07142857,1.66,40.71428571,1.56,44.28571429,0.41,1.492,0.34
litter,1.33,0.9,32.33082707,0.87,34.58646617,0.86,35.33834586,0.16,0.859,litter water loss rate
litter,1.8,1.02,43.33333333,0.83,53.88888889,0.8,55.55555556,0.33,0.796,0.25
,,,,,,,,,,
,wet_mass_intial,,time,,,,,,,
niche,0.00,1.00,2.00,3.00,17.00,,,,,
moss,2.46,1.89,1.61,1.50,1.46,,,,,
moss,2.27,1.29,0.83,0.67,0.66,,,,,
soil,13.08,11.54,11.17,11.14,11.10,,,,,
soil,20.70,18.90,17.08,16.75,16.51,,,,,
wood,5.59,3.66,2.98,2.82,2.69,,,,,
wood,8.60,7.54,5.33,4.43,2.85,,,,,
lichen,1.50,0.91,0.75,0.73,0.73,,,,,
lichen,2.80,2.21,1.66,1.56,1.49,,,,,
litter,1.33,0.90,0.87,0.86,0.86,,,,,
litter,1.80,1.02,0.83,0.80,0.80,,,,,