"season","site","niche","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n"
"fall","BiscBas","Lichen",4.891625,2.06721341071429,0,0,0,0,0,0,0,0,8
"fall","BiscBas","Litter",11.868875,5.02796583928572,0,0,0,0,0,0,0,0,8
"fall","BiscBas","Moss",9.3975,43.7983277142857,1.15723375e-10,0,3.12198594857704e-10,9.7467962631125e-20,1.213333375e-10,0,3.2473715757688e-10,1.05454221511111e-19,8
"fall","BiscBas","Soil",3.155375,0.334119696428571,0,0,0,0,0,0,0,0,8
"fall","BiscBas","Wood",105.343,8588.75262257143,0,0,0,0,0,0,0,0,8
"fall","FirLopSo","Lichen",10.015375,127.145627982143,0,0,0,0,0,0,0,0,8
"fall","FirLopSo","Litter",9.2425,8.55484742857143,0,0,0,0,0,0,0,0,8
"fall","FirLopSo","Moss",7.310375,46.0416948392857,1.4310375e-10,0,4.04758528152898e-10,1.638294661125e-19,1.435e-10,0,4.05879292401078e-10,1.64738e-19,8
"fall","FirLopSo","Soil",10.847875,147.497133839286,0,0,0,0,0,0,0,0,8
"fall","FirLopSo","Wood",62.203625,4093.84345455357,0,0,0,0,0,0,0,0,8
"fall","FounEast","Lichen",57.393875,4826.67384069643,0,0,0,0,0,0,0,0,8
"fall","FounEast","Litter",24.3875,388.612402571429,0,0,0,0,0,0,0,0,8
"fall","FounEast","Moss",37.577625,945.399118267857,6.161025e-12,0,1.74260102262394e-11,3.03665832405e-22,6.4166625e-11,0,1.81490622653417e-10,3.2938846111125e-20,8
"fall","FounEast","Soil",15.85225,39.3158530714286,0,0,0,0,0,0,0,0,8
"fall","FounEast","Wood",130.737875,7504.628568125,0,0,0,0,0,0,0,0,8
"fall","GibFalls","Lichen",6.449625,13.8380856964286,0,0,0,0,0,0,0,0,8
"fall","GibFalls","Litter",11.39625,10.8356222142857,0,0,0,0,0,0,0,0,8
"fall","GibFalls","Moss",11.282875,97.9020486964286,5.193325e-11,0,1.46889412976225e-10,2.15764996445e-20,6.1833375e-11,0,1.74891195064603e-10,3.0586930111125e-20,8
"fall","GibFalls","Soil",4.144125,3.35945355357143,0,0,0,0,0,0,0,0,8
"fall","GibFalls","Wood",18.642625,153.230904839286,0,0,0,0,0,0,0,0,8
"fall","GravPit","Lichen",7.643375,34.9808885535714,0,0,0,0,0,0,0,0,8
"fall","GravPit","Litter",9.20725,5.55103421428571,0,0,0,0,0,0,0,0,8
"fall","GravPit","Moss",7.39225,147.8810925,0,0,0,0,0,0,0,0,8
"fall","GravPit","Soil",7.7245,41.629678,0,0,0,0,0,0,0,0,8
"fall","GravPit","Wood",35.153,902.857768,0,0,0,0,0,0,0,0,8
"spring","BiscBas","Lichen",140.2125,2901.738025,6.18998125e-11,5.76402e-11,5.50591053727473e-11,3.03150508444729e-21,2.91666675e-10,9.799985e-11,4.55416820302994e-10,2.07404480214889e-19,4
"spring","BiscBas","Litter",168.962,8592.67307,1.967636e-11,0,4.39976785097578e-11,1.935795714248e-21,6.72e-11,0,1.50263768087986e-10,2.25792e-20,5
"spring","BiscBas","Moss",79.65,1755.4224,1.4672168e-09,6.92246e-10,2.00388945165575e-09,4.0155729344572e-18,1.7565346e-09,7.28e-10,2.33481287931727e-09,5.4513511814258e-18,5
"spring","BiscBas","Soil",314.106,143040.16328,2.087598e-10,1.80784e-10,1.11316392924403e-10,1.23913393337e-20,8.04534e-10,8.4e-11,1.038297780516e-09,1.07806228102445e-18,5
"spring","BiscBas","Wood",232.53,9289.55505,5.633696e-11,0,9.73684809546087e-11,9.480621083408e-21,1.213334e-10,0,2.14260630489598e-10,4.59076177778e-20,5
"spring","FirLopSo","Lichen",64.3533333333333,696.268933333333,1.78716836666667e-08,7.27778e-10,3.03088974524612e-08,9.18629264783806e-16,1.814089e-08,1.67067e-09,2.99611116972702e-08,8.976682141363e-16,3
"spring","FirLopSo","Litter",33.838,246.25927,1.285088e-12,0,2.87354412506925e-12,8.25725583872e-24,5.6e-12,0,1.25219806739988e-11,1.568e-22,5
"spring","FirLopSo","Moss",54.754,1982.99043,3.556006e-10,2.48716e-10,2.71123901461675e-10,7.35081699438e-20,6.215994e-10,4.10667e-10,5.56824011058521e-10,3.100529792913e-19,5
"spring","FirLopSo","Soil",42.408,9.15597000000001,1.7180176e-10,1.67579e-10,7.26329230045714e-11,5.275541504188e-21,9.146666e-11,9.33333e-11,3.51707165448474e-11,1.236979302278e-21,5
"spring","FirLopSo","Wood",178.26,2342.92875,3.89971472e-10,6.99936e-12,7.93598121270328e-10,6.29797978083794e-19,8.71733266e-10,9.33333e-12,1.77187872812185e-09,3.13955422717069e-18,5
"spring","FounEast","Lichen",181.553333333333,13605.6352333333,3.23823333333333e-10,2.49918e-10,3.66409362458621e-10,1.34255820897333e-19,8.7422e-10,1.24133e-09,7.60325888221623e-10,5.780954563e-19,3
"spring","FounEast","Litter",62.5633333333333,1847.43963333333,1.36602466666667e-10,1.44519e-10,6.34373608739624e-11,4.02429875465333e-21,4.51111333333333e-10,4.2e-10,1.15195209519899e-10,1.32699362963333e-20,3
"spring","FounEast","Moss",99.7533333333333,4797.61013333333,7.05012666666667e-10,1.88468e-10,1.06208840767675e-09,1.12803178572133e-18,4.844e-09,4.2e-10,8.02907018277957e-09,6.4465968e-17,3
"spring","FounEast","Soil",36.03,63.6244,2.30859333333333e-10,2.33722e-10,1.28337293618548e-11,1.64704609333334e-22,9.64443333333333e-11,8.4e-11,2.15542175996563e-11,4.64584296333334e-22,3
"spring","FounEast","Wood",118.315,27.01125,2.02711e-10,2.02711e-10,2.53724055225357e-11,6.43758962e-22,4.34e-10,4.34e-10,1.7819090885901e-10,3.1752e-20,2
"spring","GibFalls","Lichen",75.745,50.50125,0,0,0,0,0,0,0,0,2
"spring","GibFalls","Litter",66.65,2888,3.77441e-12,3.77441e-12,5.33782181195663e-12,2.84923416962e-23,9.33335e-12,9.33335e-12,1.31993501523749e-11,1.74222844445e-22,2
"spring","GibFalls","Moss",98.2966666666667,2809.66723333333,1.492058e-08,2.91014e-09,2.3368292778575e-08,5.460771073852e-16,5.3847e-08,2.352e-09,9.1236427478283e-08,8.324085699e-15,3
"spring","GibFalls","Soil",22.1266666666667,25.0280333333333,2.83429133333333e-10,2.81514e-10,2.08219905625407e-10,4.33555290986533e-20,1.80444333333333e-10,2.24e-10,1.3600204519173e-10,1.84965562963333e-20,3
"spring","GibFalls","Wood",210.5,1693.62,1.23719e-10,1.23719e-10,1.74965087723237e-10,3.0612781922e-20,2.333335e-10,2.333335e-10,3.29983400255983e-10,1.088890444445e-19,2
"spring","GravPit","Lichen",89.09,2618.2444,5.07113133333333e-09,4.89294e-10,8.36329511701849e-09,6.99447052143453e-17,6.5271e-09,1.288e-09,1.02101583156188e-08,1.0424733283e-16,3
"spring","GravPit","Litter",46.2133333333333,125.268433333333,6.1747e-11,7.0465e-11,5.78825119271788e-11,3.350385187e-21,2.24e-10,2.70667e-10,2.04695874137707e-10,4.1900400889e-20,3
"spring","GravPit","Moss",154.493333333333,32397.6305333333,1.09241016666667e-08,1.26762e-08,1.00104153018748e-08,1.00208414516008e-16,9.37376666666667e-09,1.0612e-08,7.59869589885879e-09,5.77401793633333e-17,3
"spring","GravPit","Soil",31.0766666666667,141.316933333333,1.45028133333333e-10,1.48241e-10,6.3824978171977e-11,4.07362783865333e-21,6.22222333333333e-11,7.46667e-11,3.0002475947217e-11,9.00148562963333e-22,3
"spring","GravPit","Wood",154.61,1113.92,4.1518826e-10,4.1518826e-10,5.75810826360303e-10,3.31558107753735e-19,7.1399835e-10,7.1399835e-10,9.83347449777262e-10,9.66972206983445e-19,2
"summer","BiscBas","Lichen",0.270375,0.207627982142857,1.0650125e-11,0,3.01231024319375e-11,9.07401300125e-22,2.8e-11,0,7.91959594928933e-11,6.272e-21,8
"summer","BiscBas","Litter",0.4915,0.553158285714286,0,0,0,0,0,0,0,0,8
"summer","BiscBas","Moss",0.064375,0.033153125,5.532085e-11,0,1.38291898853558e-10,1.91246492885229e-20,1.4583375e-10,0,3.90344900200451e-10,1.523691411125e-19,8
"summer","BiscBas","Soil",2.17357142857143,1.75820228571429,0,0,0,0,0,0,0,0,7
"summer","BiscBas","Wood",2.353125,17.5905115535714,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Lichen",0.3205,0.404277714285714,7.0423655e-09,0,1.73273679825385e-08,3.00237681202299e-16,1.89840375e-08,0,4.32691916440039e-08,1.87222294552554e-15,8
"summer","FirLopSo","Litter",0,0,0,0,0,0,0,0,0,0,6
"summer","FirLopSo","Moss",0.244125,0.188364125,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Soil",1.5925,1.02980228571429,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Wood",0,0,0,0,0,0,0,0,0,0,8
"summer","FounEast","Lichen",3.481625,8.39883369642857,0,0,0,0,0,0,0,0,8
"summer","FounEast","Litter",3.2748,4.40509662222222,0,0,0,0,0,0,0,0,10
"summer","FounEast","Moss",6.3794,117.2712218,0,0,0,0,0,0,0,0,6
"summer","FounEast","Soil",9.49125,38.0656439285714,0,0,0,0,0,0,0,0,8
"summer","FounEast","Wood",14.0895714285714,839.198221285714,0,0,0,0,0,0,0,0,7
"summer","GibFalls","Lichen",0.353875,0.176438125,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Litter",1.357125,1.587416125,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Moss",1.4598,2.4495877,1.340448e-09,0,2.99733284830364e-09,8.98400420352e-18,7.0728e-09,0,1.58152615912605e-08,2.501224992e-16,5
"summer","GibFalls","Soil",1.59125,2.11398535714286,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Wood",0.513,0.478583333333333,0,0,0,0,0,0,0,0,7
"summer","GravPit","Lichen",0.9111,0.395560988888889,5.23244e-11,0,1.65464281201714e-10,2.73784283536e-20,1.008e-10,0,3.18757588144973e-10,1.016064e-19,10
"summer","GravPit","Litter",1.34125,0.545349357142857,0,0,0,0,0,0,0,0,8
"summer","GravPit","Moss",0.272142857142857,0.142988142857143,4.1018e-10,0,1.08523427277247e-09,1.1777334268e-18,3.94667142857143e-09,0,1.0441911106484e-08,1.09033507555714e-16,7
"summer","GravPit","Soil",2.386875,2.245438125,0,0,0,0,0,0,0,0,8
"summer","GravPit","Wood",1.10125,1.1596345,0,0,0,0,0,0,0,0,8
"summer_wet","BiscBas","Lichen",20.6182,160.0541007,3.14178e-10,0,7.02523365034929e-10,4.9353907842e-19,1.267466e-09,0,2.83414013516975e-09,8.03235030578e-18,5
"summer_wet","BiscBas","Litter",31.0056,385.3859248,0,0,0,0,0,0,0,0,5
"summer_wet","BiscBas","Moss",21.78075,16.8969915833333,1.45142e-11,0,3.24547378390274e-11,1.0533100082e-21,1.456e-10,0,2.95263949712795e-10,8.71808e-20,5
"summer_wet","BiscBas","Soil",9.5054,41.8794573,0,0,0,0,0,0,0,0,5
"summer_wet","BiscBas","Wood",104.635666666667,1949.70624946667,4.00786033333333e-10,1.047691e-10,7.30886694002516e-10,5.34195359469927e-19,7.91777166666667e-10,3.546665e-10,1.0182729268581e-09,1.03687975357217e-18,6
"summer_wet","FirLopSo","Lichen",48.8136,109.6074248,1.7024776e-09,0,3.77426707453895e-09,1.42450919499488e-17,1.503226e-08,0,3.35193193000395e-08,1.123544766338e-15,5
"summer_wet","FirLopSo","Litter",48.07125,515.06482225,0,0,0,0,0,0,0,0,4
"summer_wet","FirLopSo","Moss",29.1462,136.8240107,3.135104e-10,2.47226e-10,3.94540143750671e-10,1.556619250308e-19,2.92694e-09,1.092e-09,4.74651061496759e-09,2.2529363018e-17,5
"summer_wet","FirLopSo","Soil",17.1974,14.8617013,0,0,0,0,0,0,0,0,5
"summer_wet","FirLopSo","Wood",103.872,1778.792299,3.4217912e-10,3.96436e-11,6.18936614401081e-10,3.83082532646272e-19,1.3477326e-09,1.77333e-10,2.29253161789948e-09,5.2557012190688e-18,5
"summer_wet","FounEast","Lichen",94.9706,1820.8063413,5.2583162e-08,2.21612e-08,6.52191694753791e-08,4.25354006705822e-15,5.38215134e-07,2.34967e-07,6.88678279084243e-07,4.74277772082435e-13,5
"summer_wet","FounEast","Litter",92.966,1003.7028395,1.831092e-11,0,4.09444618505605e-11,1.676448956232e-21,7.65334e-11,0,1.71133884949182e-10,2.92868065778e-20,5
"summer_wet","FounEast","Moss",79.1215,2231.0841919,4.44543133333333e-09,8.0913e-10,7.0141566904473e-09,4.91983940781467e-17,7.5226555e-09,7.896e-09,6.28577876732561e-09,3.95110147117615e-17,6
"summer_wet","FounEast","Soil",32.74,48.5235935,8.39738e-12,0,1.15862440808918e-11,1.34241051902e-22,8.21334e-11,0,1.24242090202153e-10,1.54360969778e-20,5
"summer_wet","FounEast","Wood",136.5226,1901.1687578,2.4308788e-10,8.64554e-11,3.28212609638435e-10,1.07723517125672e-19,1.0173346e-09,8.49333e-10,1.18152562825603e-09,1.3960028102258e-18,5
"summer_wet","GibFalls","Lichen",65.3064,1588.6348703,5.04132248e-08,8.53614e-10,1.11136036371427e-07,1.23512185803511e-14,1.73906132e-07,3.31333e-09,3.81939578983617e-07,1.45877841994183e-13,5
"summer_wet","GibFalls","Litter",50.828,205.4231625,7.90816e-12,0,1.76831833369447e-11,3.12694972928e-22,1.306666e-11,0,2.92179399988774e-11,8.53688017778e-22,5
"summer_wet","GibFalls","Moss",21.2824,147.7838393,3.556516e-10,0,5.06651848938499e-10,2.566960960328e-19,8.512014e-10,6.90667e-10,9.79454752129878e-10,9.593316114698e-19,5
"summer_wet","GibFalls","Soil",13.1348,45.2564282,0,0,0,0,0,0,0,0,5
"summer_wet","GibFalls","Wood",62.14225,683.305568916667,4.785145e-11,6.03987e-11,3.23308938114924e-11,1.04528669465e-21,1.9133325e-10,1.726665e-10,1.74859935059226e-10,3.05759968889167e-20,4
"summer_wet","GravPit","Lichen",66.1712,172.1616827,3.7525708e-09,4.33914e-10,5.37369891500103e-09,2.88766400290832e-17,7.9156014e-08,3.10147e-08,1.4005640691481e-07,1.9615797117887e-14,5
"summer_wet","GravPit","Litter",61.0213333333333,157.321457333333,0,0,0,0,0,0,0,0,3
"summer_wet","GravPit","Moss",70.5432,457.7214872,1.2293672e-10,9.07112e-11,1.05427412361074e-10,1.1114939277152e-20,3.229334e-10,2.33333e-10,3.90140178169719e-10,1.522093586223e-19,5
"summer_wet","GravPit","Soil",21.27,50.8945955,0,0,0,0,0,0,0,0,5
"summer_wet","GravPit","Wood",135.9004,2828.8101838,6.322044e-10,6.12742e-10,4.84730289799183e-10,2.349634538488e-19,2.0178666e-09,2.632e-09,1.82950401678373e-09,3.3470849474278e-18,5
