"","season","niche","combined_mean_flux","median_flux","sd_flux","se_flux","mean_moist","temp","se_total","sd_total","total_flux"
"1","fall","Lichen",0,0,0,0,17.278775,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"2","fall","Lichen",0,0,0,0,17.278775,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"3","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"4","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"5","fall","Lichen",0,0,0,0,17.278775,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"6","fall","Litter",0,0,0,0,13.220475,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"7","fall","Litter",0,0,0,0,13.220475,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"8","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"9","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"10","fall","Litter",0,0,0,0,13.220475,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"11","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"12","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"13","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"14","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"15","fall","Moss",8.1752e-05,7.58e-06,0.000155120441335112,6.93719703050158e-05,14.592125,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"16","fall","Soil",0,0,0,0,8.344825,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"17","fall","Soil",0,0,0,0,8.344825,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"18","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"19","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"20","fall","Soil",0,0,0,0,8.344825,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"21","fall","Wood",0,0,0,0,70.416025,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"22","fall","Wood",0,0,0,0,70.416025,6.39,0.000346859851525079,0.000775602206675561,0.00040876
"23","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"24","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"25","fall","Wood",0,0,0,0,70.416025,10.84,0.000346859851525079,0.000775602206675561,0.00040876
"26","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,3.9,0.294071183427868,0.657563156368523,0.729013479
"27","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,3.9,0.294071183427868,0.657563156368523,0.729013479
"28","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"29","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"30","spring","Lichen",0.0431743376,0.000139,0.0856971857319488,0.0383249465554125,110.190833326,5.3,0.294071183427868,0.657563156368523,0.729013479
"31","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,3.9,0.294071183427868,0.657563156368523,0.729013479
"32","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,3.9,0.294071183427868,0.657563156368523,0.729013479
"33","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"34","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"35","spring","Litter",0.0010230332,0.000582,0.00114468796026197,0.000511920018434267,75.645333332,5.3,0.294071183427868,0.657563156368523,0.729013479
"36","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,3.9,0.294071183427868,0.657563156368523,0.729013479
"37","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,3.9,0.294071183427868,0.657563156368523,0.729013479
"38","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"39","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"40","spring","Moss",0.0025109934,0.002178405,0.00225319510316624,0.00100765948344987,97.38946666,5.3,0.294071183427868,0.657563156368523,0.729013479
"41","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,3.9,0.294071183427868,0.657563156368523,0.729013479
"42","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,3.9,0.294071183427868,0.657563156368523,0.729013479
"43","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,5.3,0.294071183427868,0.657563156368523,0.729013479
"44","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,5.3,0.294071183427868,0.657563156368523,0.729013479
"45","spring","Soil",0.0760734914,0.063809347,0.0258993434053171,0.01158253848538,33.911600002,5.3,0.294071183427868,0.657563156368523,0.729013479
"46","spring","Wood",0.0230208402,0.02366233,0.0165182190730105,0.00738717214289701,178.843,3.9,0.294071183427868,0.657563156368523,0.729013479
"47","spring","Wood",0.0230208402,0.02366233,0.0165182190730105,0.00738717214289701,178.843,3.9,0.294071183427868,0.657563156368523,0.729013479
"48","spring","Wood",0.0230208402,0.02366233,0.0165182190730105,0.00738717214289701,178.843,5.3,0.294071183427868,0.657563156368523,0.729013479
"49","spring","Wood",0.0230208402,0.02366233,0.0165182190730105,0.00738717214289701,178.843,5.3,0.294071183427868,0.657563156368523,0.729013479
"50","spring","Wood",0.0230208402,0.02366233,0.0165182190730105,0.00738717214289701,178.843,5.3,0.294071183427868,0.657563156368523,0.729013479
"51","summer","Lichen",0.0154687604,2.39e-05,0.0344607898462606,0.0154113337309147,1.067495,18.06,0.077285865076884,0.17281644801179,0.077902802
"52","summer","Lichen",0.0154687604,2.39e-05,0.0344607898462606,0.0154113337309147,1.067495,18.06,0.077285865076884,0.17281644801179,0.077902802
"53","summer","Lichen",0.0154687604,2.39e-05,0.0344607898462606,0.0154113337309147,1.067495,18.06,0.077285865076884,0.17281644801179,0.077902802
"54","summer","Lichen",0.0154687604,2.39e-05,0.0344607898462606,0.0154113337309147,1.067495,18.06,0.077285865076884,0.17281644801179,0.077902802
"55","summer","Lichen",0.0154687604,2.39e-05,0.0344607898462606,0.0154113337309147,1.067495,18.06,0.077285865076884,0.17281644801179,0.077902802
"56","summer","Litter",0,0,0,0,1.292935,18.06,0.077285865076884,0.17281644801179,0.077902802
"57","summer","Litter",0,0,0,0,1.292935,18.06,0.077285865076884,0.17281644801179,0.077902802
"58","summer","Litter",0,0,0,0,1.292935,18.06,0.077285865076884,0.17281644801179,0.077902802
"59","summer","Litter",0,0,0,0,1.292935,18.06,0.077285865076884,0.17281644801179,0.077902802
"60","summer","Litter",0,0,0,0,1.292935,18.06,0.077285865076884,0.17281644801179,0.077902802
"61","summer","Moss",0.0001118,0.000171,0.000102499756097271,4.58392844621292e-05,1.6839685714,18.06,0.077285865076884,0.17281644801179,0.077902802
"62","summer","Moss",0.0001118,0.000171,0.000102499756097271,4.58392844621292e-05,1.6839685714,18.06,0.077285865076884,0.17281644801179,0.077902802
"63","summer","Moss",0.0001118,0.000171,0.000102499756097271,4.58392844621292e-05,1.6839685714,18.06,0.077285865076884,0.17281644801179,0.077902802
"64","summer","Moss",0.0001118,0.000171,0.000102499756097271,4.58392844621292e-05,1.6839685714,18.06,0.077285865076884,0.17281644801179,0.077902802
"65","summer","Moss",0.0001118,0.000171,0.000102499756097271,4.58392844621292e-05,1.6839685714,18.06,0.077285865076884,0.17281644801179,0.077902802
"66","summer","Soil",0,0,0,0,3.4470892858,18.06,0.077285865076884,0.17281644801179,0.077902802
"67","summer","Soil",0,0,0,0,3.4470892858,18.06,0.077285865076884,0.17281644801179,0.077902802
"68","summer","Soil",0,0,0,0,3.4470892858,18.06,0.077285865076884,0.17281644801179,0.077902802
"69","summer","Soil",0,0,0,0,3.4470892858,18.06,0.077285865076884,0.17281644801179,0.077902802
"70","summer","Soil",0,0,0,0,3.4470892858,18.06,0.077285865076884,0.17281644801179,0.077902802
"71","summer","Wood",0,0,0,0,3.611389286,18.06,0.077285865076884,0.17281644801179,0.077902802
"72","summer","Wood",0,0,0,0,3.611389286,18.06,0.077285865076884,0.17281644801179,0.077902802
"73","summer","Wood",0,0,0,0,3.611389286,18.06,0.077285865076884,0.17281644801179,0.077902802
"74","summer","Wood",0,0,0,0,3.611389286,18.06,0.077285865076884,0.17281644801179,0.077902802
"75","summer","Wood",0,0,0,0,3.611389286,18.06,0.077285865076884,0.17281644801179,0.077902802
"76","summer_wet","Lichen",0.043104338,0.014792603,0.0733295318629149,0.0327939636007429,59.176,13.1,0.322342614337753,0.720779997704214,0.562615308
"77","summer_wet","Lichen",0.043104338,0.014792603,0.0733295318629149,0.0327939636007429,59.176,13.1,0.322342614337753,0.720779997704214,0.562615308
"78","summer_wet","Lichen",0.043104338,0.014792603,0.0733295318629149,0.0327939636007429,59.176,13.1,0.322342614337753,0.720779997704214,0.562615308
"79","summer_wet","Lichen",0.043104338,0.014792603,0.0733295318629149,0.0327939636007429,59.176,13.1,0.322342614337753,0.720779997704214,0.562615308
"80","summer_wet","Lichen",0.043104338,0.014792603,0.0733295318629149,0.0327939636007429,59.176,13.1,0.322342614337753,0.720779997704214,0.562615308
"81","summer_wet","Litter",0.0001108,0,0.000194008247247379,8.6763125808145e-05,56.778436666,13.1,0.322342614337753,0.720779997704214,0.562615308
"82","summer_wet","Litter",0.0001108,0,0.000194008247247379,8.6763125808145e-05,56.778436666,13.1,0.322342614337753,0.720779997704214,0.562615308
"83","summer_wet","Litter",0.0001108,0,0.000194008247247379,8.6763125808145e-05,56.778436666,13.1,0.322342614337753,0.720779997704214,0.562615308
"84","summer_wet","Litter",0.0001108,0,0.000194008247247379,8.6763125808145e-05,56.778436666,13.1,0.322342614337753,0.720779997704214,0.562615308
"85","summer_wet","Litter",0.0001108,0,0.000194008247247379,8.6763125808145e-05,56.778436666,13.1,0.322342614337753,0.720779997704214,0.562615308
"86","summer_wet","Moss",0.0008521214,5.74e-05,0.00177319429803668,0.000792996597545008,44.37481,13.1,0.322342614337753,0.720779997704214,0.562615308
"87","summer_wet","Moss",0.0008521214,5.74e-05,0.00177319429803668,0.000792996597545008,44.37481,13.1,0.322342614337753,0.720779997704214,0.562615308
"88","summer_wet","Moss",0.0008521214,5.74e-05,0.00177319429803668,0.000792996597545008,44.37481,13.1,0.322342614337753,0.720779997704214,0.562615308
"89","summer_wet","Moss",0.0008521214,5.74e-05,0.00177319429803668,0.000792996597545008,44.37481,13.1,0.322342614337753,0.720779997704214,0.562615308
"90","summer_wet","Moss",0.0008521214,5.74e-05,0.00177319429803668,0.000792996597545008,44.37481,13.1,0.322342614337753,0.720779997704214,0.562615308
"91","summer_wet","Soil",0.0098340112,0,0.0219895175346943,0.0098340112,18.76952,13.1,0.322342614337753,0.720779997704214,0.562615308
"92","summer_wet","Soil",0.0098340112,0,0.0219895175346943,0.0098340112,18.76952,13.1,0.322342614337753,0.720779997704214,0.562615308
"93","summer_wet","Soil",0.0098340112,0,0.0219895175346943,0.0098340112,18.76952,13.1,0.322342614337753,0.720779997704214,0.562615308
"94","summer_wet","Soil",0.0098340112,0,0.0219895175346943,0.0098340112,18.76952,13.1,0.322342614337753,0.720779997704214,0.562615308
"95","summer_wet","Soil",0.0098340112,0,0.0219895175346943,0.0098340112,18.76952,13.1,0.322342614337753,0.720779997704214,0.562615308
"96","summer_wet","Wood",0.058621791,0.05321269,0.0468697475979496,0.0209607883434546,108.61458334,13.1,0.322342614337753,0.720779997704214,0.562615308
"97","summer_wet","Wood",0.058621791,0.05321269,0.0468697475979496,0.0209607883434546,108.61458334,13.1,0.322342614337753,0.720779997704214,0.562615308
"98","summer_wet","Wood",0.058621791,0.05321269,0.0468697475979496,0.0209607883434546,108.61458334,13.1,0.322342614337753,0.720779997704214,0.562615308
"99","summer_wet","Wood",0.058621791,0.05321269,0.0468697475979496,0.0209607883434546,108.61458334,13.1,0.322342614337753,0.720779997704214,0.562615308
"100","summer_wet","Wood",0.058621791,0.05321269,0.0468697475979496,0.0209607883434546,108.61458334,13.1,0.322342614337753,0.720779997704214,0.562615308
